file_number,category,filed_by,doc_type,outcome,on_consent,sheriff_referenced
LTB-L-002611-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-002637-26,L1,landlord,Order,money_only,True,False
LTB-L-002641-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-002658-26,L1,landlord,Order,dismissed,False,False
LTB-L-002675-26,L1,landlord,Order,other,False,False
LTB-L-002678-26,L1,landlord,Order,other,False,False
LTB-L-002691-26,L1,landlord,Order,other,False,False
LTB-L-002708-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-002736-26,L1,landlord,Order,money_only,True,False
LTB-L-002746-26,L1,landlord,Order,terminated_voidable,True,True
LTB-L-002758-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-002792-26,L1,landlord,Order,dismissed,False,False
LTB-L-002863-26,L1,landlord,Order,money_only,False,False
LTB-L-002880-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-002894-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-002896-26,L1,landlord,Order,money_only,True,False
LTB-L-002897-26,L1,landlord,Order,terminated,True,True
LTB-L-002917-26,L1,landlord,Order,money_only,True,False
LTB-L-002955-26,L1,landlord,Order,money_only,True,False
LTB-L-003008-26,L1,landlord,Order,other,False,False
LTB-L-003019-26,L1,landlord,Order,money_only,True,False
LTB-L-003029-26,L1,landlord,Order,money_only,True,False
LTB-L-003051-26,L1,landlord,Order,money_only,True,False
LTB-L-003061-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-003078-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-003085-26,L1,landlord,Order,withdrawn,True,False
LTB-L-003087-26,L1,landlord,Order,money_only,False,False
LTB-L-003099-26,L1,landlord,Order,terminated,False,True
LTB-L-003109-26,L1,landlord,Order,other,False,False
LTB-L-003165-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-003167-26,L1,landlord,Order,terminated,False,False
LTB-L-003172-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-003174-26,L1,landlord,Order,other,False,False
LTB-L-003179-26,L1,landlord,Order,money_only,True,False
LTB-L-003186-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-003194-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-003209-26,L1,landlord,Order,money_only,True,False
LTB-L-003229-26,L1,landlord,Order,other,False,False
LTB-L-003233-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-003241-26,L1,landlord,Order,terminated,False,False
LTB-L-003248-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-003323-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-003347-26,L1,landlord,Order,money_only,False,False
LTB-L-003388-26,L1,landlord,Order,other,False,False
LTB-L-003396-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-003416-26,L1,landlord,Order,dismissed,False,False
LTB-L-003431-26,L1,landlord,Order,terminated,False,False
LTB-L-003439-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-003446-26,L1,landlord,ExParte Order,other,False,False
LTB-L-003452-26,L1,landlord,Order,other,False,False
LTB-L-003470-26,L1,landlord,Order,other,False,False
LTB-L-003474-26,L1,landlord,Order,dismissed,False,False
LTB-L-003495-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-003500-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-003503-26,L1,landlord,Order,money_only,False,False
LTB-L-003514-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-003530-26,L1,landlord,Order,money_only,False,False
LTB-L-003555-26,L1,landlord,Order,terminated_voidable,True,True
LTB-L-003561-26,L1,landlord,Order,terminated,True,True
LTB-L-003563-26,L1,landlord,Amended Order,terminated_voidable,False,True
LTB-L-003572-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-003607-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-003628-26,L1,landlord,Order,terminated,True,True
LTB-L-003636-26,L1,landlord,Order,dismissed,False,False
LTB-L-003637-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-003645-26,L1,landlord,Order,other,False,False
LTB-L-003671-26,L1,landlord,Order,terminated,False,True
LTB-L-003713-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-003737-26,L1,landlord,ExParte Order,other,False,False
LTB-L-003760-26,L1,landlord,Order,money_only,True,False
LTB-L-003788-26,L1,landlord,ExParte Order,other,False,False
LTB-L-003796-26,L1,landlord,Order,money_only,False,False
LTB-L-003802-26,L1,landlord,Order,other,False,False
LTB-L-003805-26,L1,landlord,ExParte Order,other,False,False
LTB-L-003850-25,L1,landlord,Review Order,terminated,False,False
LTB-L-003860-26,L1,landlord,Order,terminated,True,True
LTB-L-003888-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-003925-26,L1,landlord,Order,terminated,False,False
LTB-L-003937-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-003975-26,L1,landlord,Order,money_only,False,False
LTB-L-003982-26,L1,landlord,Order,money_only,True,False
LTB-L-004005-26,L1,landlord,Order,money_only,True,False
LTB-L-004011-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-004047-26,L1,landlord,Order,money_only,True,False
LTB-L-004118-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-004194-26,L1,landlord,Order,dismissed,False,False
LTB-L-004221-26,L1,landlord,Order,other,False,False
LTB-L-004241-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-004255-26,L1,landlord,ExParte Order,other,False,False
LTB-L-004271-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-004277-26,L1,landlord,Order,money_only,True,True
LTB-L-004309-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-004310-26,L1,landlord,Order,money_only,True,False
LTB-L-004330-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-004348-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-004351-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-004415-26,L1,landlord,Order,money_only,False,False
LTB-L-004421-26,L1,landlord,Order,terminated,False,False
LTB-L-004426-26,L1,landlord,Order,dismissed,False,False
LTB-L-004450-26,L1,landlord,Order,money_only,False,False
LTB-L-004467-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-004469-26,L1,landlord,Review Order,other,False,False
LTB-L-004499-26,L1,landlord,Order,withdrawn,False,False
LTB-L-004503-26,L1,landlord,Order,other,False,False
LTB-L-004556-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-004589-26,L1,landlord,Order,money_only,True,False
LTB-L-004607-26,L1,landlord,Order,other,False,False
LTB-L-004615-26,L1,landlord,Order,money_only,True,False
LTB-L-004630-26,L1,landlord,Order,other,False,False
LTB-L-004636-26,L1,landlord,Order,money_only,True,False
LTB-L-004672-26,L1,landlord,Order,money_only,True,False
LTB-L-004673-26,L1,landlord,Order,money_only,True,False
LTB-L-004685-24,L1,landlord,Order,money_only,True,False
LTB-L-004687-26,L1,landlord,ExParte Order,other,False,False
LTB-L-004728-26,L1,landlord,Order,money_only,True,False
LTB-L-004744-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-004754-26,L1,landlord,Order,other,False,False
LTB-L-004761-26,L1,landlord,Order,money_only,False,False
LTB-L-004782-26,L1,landlord,Order,other,False,False
LTB-L-004785-26,L1,landlord,Order,other,False,False
LTB-L-004895-26,L1,landlord,Order,money_only,True,False
LTB-L-004896-26,L1,landlord,Order,dismissed,False,False
LTB-L-004908-26,L1,landlord,Order,other,False,False
LTB-L-004916-24,L1,landlord,Order,terminated_voidable,False,True
LTB-L-004933-26,L1,landlord,Order,terminated_voidable,False,True
