fsa,landlord_filed,tenant_filed,total_cases,renter_households,cases_per_1000_renter_households,landlord_cases_per_1000_renter_households,tenant_per_landlord_ratio,median_household_income,pct_tenant_core_housing_need,pct_tenant_shelter_over_30pct,pct_renter,average_monthly_rent,rent_to_income_ratio
N4G,41,4,47,2570,17.5,16.0,0.098,75000.0,15.3,37.4,27.87,1168.0,18.7
N4K,91,16,107,4425,24.2,20.6,0.176,69500.0,21.5,38.4,34.2,980.0,16.9
N4L,4,1,5,810,6.2,4.9,0.25,74500.0,13.9,36.0,21.86,1018.0,16.4
N4N,18,7,25,1320,18.9,13.6,0.389,73000.0,13.8,39.5,30.28,1007.0,16.6
N4S,84,12,97,4755,20.2,17.7,0.143,78000.0,15.9,34.1,34.28,1110.0,17.1
N4T,22,3,26,1535,16.3,14.3,0.136,98000.0,9.5,42.7,27.83,1544.0,18.9
N4V,2,0,2,540,3.7,3.7,0.0,87000.0,7.1,49.5,40.91,1770.0,24.4
N4W,13,3,16,1510,10.6,8.6,0.231,84000.0,19.1,37.2,29.67,1151.0,16.4
N4X,7,6,15,820,15.9,8.5,0.857,89000.0,6.3,24.8,20.22,1010.0,13.6
N4Z,1,0,1,165,6.1,6.1,0.0,95000.0,18.8,21.9,18.75,1180.0,14.9
N5A,75,4,80,5035,15.7,14.9,0.053,77000.0,15.6,35.7,34.5,1127.0,17.6
N5C,24,3,30,1380,19.6,17.4,0.125,89000.0,10.7,32.0,22.31,1074.0,14.5
N5H,18,0,20,1265,14.2,14.2,0.0,83000.0,8.6,31.2,23.04,1044.0,15.1
N5L,3,0,3,245,12.2,12.2,0.0,89000.0,19.6,43.8,14.76,1230.0,16.6
N5P,73,6,82,2765,28.6,26.4,0.082,77500.0,29.5,38.3,32.23,996.0,15.4
N5R,37,9,46,3250,14.2,11.4,0.243,80000.0,21.6,33.9,25.56,1092.0,16.4
N5V,127,15,149,4805,29.6,26.4,0.118,74500.0,19.9,30.5,37.94,1086.0,17.5
N5W,144,29,175,4805,36.0,30.0,0.201,64500.0,27.2,38.4,41.39,1047.0,19.5
N5X,56,15,71,3210,22.1,17.4,0.268,103000.0,14.6,40.2,24.06,1520.0,17.7
N5Y,184,16,201,8450,23.7,21.8,0.087,63600.0,25.2,35.1,55.37,1071.0,20.2
N5Z,151,16,169,4020,41.5,37.6,0.106,64500.0,25.3,30.3,38.14,979.0,18.2
N6A,105,12,118,4995,23.4,21.0,0.114,61200.0,15.1,41.5,70.7,1277.0,25.0
N6B,127,15,142,5075,28.0,25.0,0.118,49200.0,23.5,38.3,77.3,1023.0,25.0
N6C,89,15,104,6170,16.9,14.4,0.169,75500.0,21.0,37.1,43.48,1154.0,18.3
N6E,54,7,61,3130,19.5,17.3,0.13,75000.0,26.4,36.7,31.04,1207.0,19.3
N6G,106,23,135,5350,24.1,19.8,0.217,96000.0,16.1,45.7,29.16,1558.0,19.5
N6H,177,16,193,10485,18.4,16.9,0.09,71000.0,21.0,46.0,54.03,1292.0,21.8
N6J,115,17,137,6530,20.2,17.6,0.148,65000.0,23.7,38.6,51.14,1102.0,20.3
N6K,63,8,71,4540,15.6,13.9,0.127,100000.0,17.2,38.6,30.38,1374.0,16.5
N6L,11,2,13,345,37.7,31.9,0.182,103000.0,13.6,41.2,22.48,2010.0,23.4
N6M,7,3,10,380,26.3,18.4,0.429,109000.0,9.6,35.1,13.77,1840.0,20.3
N6P,21,1,22,875,25.1,24.0,0.048,119000.0,10.3,50.3,22.15,1740.0,17.5
N7A,9,4,13,1420,9.2,6.3,0.444,74000.0,28.7,41.1,25.31,1128.0,18.3
N7G,24,4,28,1910,14.7,12.6,0.167,85000.0,21.1,36.3,24.19,1108.0,15.6
N7L,76,3,79,3840,20.6,19.8,0.039,68500.0,16.3,35.3,34.32,949.0,16.6
N7M,100,18,120,3565,33.1,28.1,0.18,71000.0,16.2,29.7,32.62,893.0,15.1
N7S,51,21,72,2530,28.5,20.2,0.412,93000.0,20.5,30.3,22.35,1092.0,14.1
N7T,140,28,169,6245,26.9,22.4,0.2,58400.0,27.5,38.8,48.35,1024.0,21.0
N7V,17,5,22,1460,15.1,11.6,0.294,83000.0,20.8,46.4,26.52,1280.0,18.5
N7W,2,1,3,35,85.7,57.1,0.5,81000.0,0.0,28.6,2.72,1400.0,20.7
N8A,28,4,32,1565,20.4,17.9,0.143,64500.0,21.5,31.3,28.61,824.0,15.3
N8H,32,4,38,3160,11.4,10.1,0.125,78000.0,20.7,35.5,31.94,1159.0,17.8
N8M,17,4,21,885,23.7,19.2,0.235,88000.0,13.2,27.1,19.14,940.0,12.8
N8N,19,2,26,1030,20.4,18.4,0.105,108000.0,14.9,32.7,10.94,1226.0,13.6
N8P,6,5,11,415,26.5,14.5,0.833,100000.0,7.8,41.0,7.57,1620.0,19.4
N8R,18,3,21,690,30.4,26.1,0.167,92000.0,16.4,35.8,15.74,1376.0,17.9
N8S,66,5,71,3770,18.8,17.5,0.076,72500.0,19.2,37.6,36.08,1093.0,18.1
N8T,78,2,82,3430,23.3,22.7,0.026,60800.0,19.1,26.4,44.29,893.0,17.6
N8W,42,7,51,1780,27.5,23.6,0.167,80000.0,15.3,28.5,18.17,1142.0,17.1
N8X,96,21,117,3455,33.9,27.8,0.219,60000.0,27.0,41.1,47.69,1051.0,21.0
N8Y,83,16,99,3945,25.1,21.0,0.193,62800.0,20.8,34.1,43.07,1036.0,19.8
N9A,189,34,223,8795,25.4,21.5,0.18,45200.0,25.8,37.2,70.16,937.0,24.9
N9B,80,18,98,4235,23.1,18.9,0.225,59600.0,19.2,36.5,57.08,1041.0,21.0
N9C,84,10,94,3075,30.6,27.3,0.119,54000.0,22.1,34.0,57.75,957.0,21.3
N9E,15,4,19,900,21.1,16.7,0.267,103000.0,16.1,35.4,11.91,1592.0,18.5
N9G,13,5,18,760,23.7,17.1,0.385,111000.0,12.4,40.4,11.46,1684.0,18.2
N9H,10,3,13,435,29.9,23.0,0.3,117000.0,11.9,29.1,9.49,1360.0,13.9
N9J,9,1,10,595,16.8,15.1,0.111,119000.0,10.6,36.1,8.19,1485.0,15.0
N9K,2,0,2,10,200.0,200.0,0.0,136000.0,0.0,0.0,1.2,1000.0,8.8
N9V,22,1,25,1295,17.8,17.0,0.045,97000.0,19.7,38.8,15.21,1113.0,13.8
N9Y,17,0,17,970,17.5,17.5,0.0,90000.0,21.8,32.3,15.56,1092.0,14.6
P0A,12,2,14,1040,13.5,11.5,0.167,68000.0,36.8,29.6,12.86,836.0,14.8
P0B,2,0,2,375,5.3,5.3,0.0,90000.0,20.0,35.1,9.16,1180.0,15.7
P0C,1,0,1,245,4.1,4.1,0.0,78500.0,27.3,40.4,11.72,840.0,12.8
P0E,4,0,4,95,42.1,42.1,0.0,83000.0,36.8,52.6,6.13,1020.0,14.7
