fsa,total_applications,landlord_filed,tenant_filed,coop_filed,L1,L2,L4,T2,T6,T1
L5M,138,112,26,0,51,25,9,7,4,9
M5B,138,98,32,8,63,13,5,5,4,7
L2G,137,117,20,0,52,29,27,6,2,7
M1G,136,126,10,0,70,18,12,5,1,4
M1T,134,115,19,0,75,15,15,10,1,6
N7M,133,110,21,2,60,21,16,6,7,1
M6N,133,114,19,0,58,25,22,5,4,4
P1B,132,112,20,0,67,19,14,7,7,1
K8P,131,110,21,0,61,28,16,9,3,1
M4K,131,112,19,0,71,22,13,14,1,3
L8E,131,110,21,0,68,16,20,5,5,3
L6W,130,120,10,0,73,14,29,1,8,1
N8X,129,103,26,0,51,25,10,6,6,2
L6V,129,110,19,0,58,23,19,9,0,5
K1R,129,112,15,2,69,17,18,5,6,3
K0K,128,102,26,0,40,24,25,10,8,2
N6A,127,114,12,1,68,16,18,6,5,0
L3Y,126,97,28,1,50,20,11,7,3,5
M3H,125,106,19,0,68,11,17,7,3,5
N3S,124,112,12,0,69,16,19,1,5,2
N0G,124,107,17,0,58,20,18,4,6,0
L4K,123,103,20,0,63,13,11,4,5,7
K1S,123,102,21,0,77,4,10,7,4,7
M6J,121,93,28,0,52,15,13,10,9,3
L1N,121,89,26,6,45,19,14,12,9,0
L8R,121,110,11,0,70,15,20,7,2,1
L2M,120,100,18,2,52,12,24,5,6,2
N2H,119,100,19,0,52,15,19,7,3,4
L3C,119,101,18,0,54,11,20,6,4,2
K8N,119,95,22,2,55,12,25,5,1,4
M1R,118,95,22,1,57,7,18,11,4,3
M6P,115,91,24,0,51,23,7,12,7,2
M5T,114,81,33,0,47,13,11,11,6,7
K0A,114,100,14,0,47,27,18,6,3,2
K9V,114,89,25,0,59,12,14,10,9,1
N2J,113,84,29,0,52,9,8,7,9,7
N4K,112,95,17,0,55,19,18,10,2,4
N6C,112,97,15,0,70,2,21,3,5,3
K1T,112,85,22,5,54,20,8,5,6,3
P6A,112,95,14,3,65,12,12,1,10,1
L6S,111,102,9,0,62,8,20,4,1,1
M4L,111,78,33,0,47,14,10,12,3,4
N8Y,111,94,17,0,58,11,17,6,2,3
L5N,110,84,25,1,46,13,18,9,2,10
L5J,109,98,11,0,65,9,20,5,2,3
L9T,109,68,41,0,28,20,8,13,9,4
M4V,108,92,16,0,66,9,10,5,3,4
N2C,107,97,10,0,68,15,10,4,2,0
N9B,107,88,19,0,43,12,10,8,5,1
M1V,107,95,12,0,77,6,9,4,0,5
L4Y,107,94,13,0,65,5,24,3,2,1
M4B,106,91,15,0,69,5,13,4,5,2
K8V,105,92,13,0,62,10,17,5,0,0
L2E,105,87,18,0,43,20,12,2,6,2
N4S,105,92,12,1,60,11,14,5,3,0
L5G,102,90,12,0,60,6,15,2,2,5
K1Y,100,86,14,0,59,6,15,5,5,3
P3B,100,81,17,2,38,23,17,6,4,2
N9C,99,89,10,0,48,15,11,1,1,3
M6L,99,88,7,4,60,9,15,2,2,3
K2C,99,78,21,0,55,5,12,7,6,4
L5L,98,88,9,1,67,5,13,3,1,1
N2E,97,82,10,5,46,14,15,4,0,3
L3T,97,81,16,0,44,13,17,5,2,4
P0M,97,74,22,1,38,18,7,9,3,0
L1V,97,80,15,2,50,11,8,4,3,4
N3R,96,90,3,3,57,15,10,1,1,0
M8Y,95,85,10,0,50,11,8,2,1,4
K2J,95,74,21,0,34,9,18,6,1,11
M2K,94,72,22,0,37,14,9,9,6,6
M8W,94,72,22,0,38,9,21,8,5,2
M9A,93,80,13,0,52,17,3,5,3,4
M4H,92,83,7,2,35,23,13,1,2,1
L1C,92,69,20,3,39,11,15,12,2,2
N5P,92,83,6,3,43,21,15,2,1,1
N8T,91,87,2,2,45,8,19,0,1,0
M2M,91,64,27,0,40,8,5,8,2,10
L2V,91,79,12,0,36,16,17,5,2,3
N3H,91,80,11,0,43,12,12,3,4,1
M6S,91,73,18,0,35,12,15,4,4,3
M9B,91,79,12,0,54,12,7,4,1,5
P3E,90,82,7,1,46,14,12,3,0,2
N7L,90,87,3,0,42,16,16,0,2,0
M1M,89,77,11,1,36,12,20,6,1,2
L6P,89,65,24,0,31,16,6,9,1,7
K2G,89,73,16,0,50,8,7,7,1,2
M6B,89,86,3,0,54,21,7,3,0,0
M5P,88,73,15,0,50,12,9,6,1,4
L9A,88,77,11,0,45,8,18,7,3,1
L4X,87,85,1,1,67,4,12,0,1,0
M6C,87,69,16,2,38,6,15,4,2,4
L1S,86,69,17,0,42,12,8,3,5,2
N5A,86,81,4,1,53,9,15,2,1,1
L2H,85,67,12,6,55,3,3,1,3,2
L6M,83,57,25,1,29,10,8,6,2,3
M1N,83,73,10,0,45,16,8,4,1,2
L4Z,83,58,16,9,38,6,8,8,5,2
L4E,83,60,23,0,28,20,4,8,1,6
P4N,82,71,11,0,39,9,20,5,1,3
K1J,82,69,12,1,43,10,8,9,0,2
L8V,82,65,16,1,35,6,16,7,3,0
N2G,81,59,21,1,31,10,9,10,6,3
M6R,81,65,16,0,37,16,7,6,2,2
M6A,80,70,10,0,43,14,7,2,3,0
N0M,80,69,11,0,29,15,13,4,3,1
N0P,80,67,13,0,26,20,12,5,3,3
N8S,79,74,5,0,42,9,8,2,2,1
N1E,78,60,16,2,28,16,8,3,3,3
N6K,78,69,9,0,48,2,14,3,2,1
L7R,78,56,11,11,36,6,4,4,2,3
N2P,77,62,14,1,41,4,13,5,3,1
P7E,77,71,6,0,37,18,14,0,1,2
K0E,77,62,15,0,34,13,13,6,4,1
L4H,76,57,19,0,26,15,5,4,5,4
L2P,76,58,16,2,33,13,6,4,3,6
N7S,76,55,21,0,38,3,6,18,1,0
L4J,75,59,16,0,26,13,8,5,3,2
L0S,75,58,17,0,33,9,6,7,3,1
L4G,74,51,19,4,21,10,12,8,3,3
P3A,74,62,8,4,29,9,17,2,2,2
L9Z,74,64,10,0,33,11,6,2,0,2
M1W,73,60,13,0,46,9,2,4,0,5
N5X,73,57,16,0,46,5,1,6,3,5
L4P,72,50,20,2,24,10,9,3,5,2
K0L,72,61,11,0,25,19,8,4,0,1
M4J,72,51,21,0,23,16,6,12,4,3
L8G,71,63,8,0,39,9,12,4,1,2
M4R,71,61,10,0,39,1,13,3,2,2
L5R,70,60,10,0,34,8,10,1,2,2
L6R,70,52,18,0,24,15,5,8,2,4
P7B,70,55,15,0,34,8,6,8,1,1
M4W,70,51,19,0,23,5,5,5,1,7
K4A,69,55,14,0,31,6,6,5,2,4
K2H,69,60,9,0,41,13,6,5,2,0
N1G,69,45,21,3,25,10,2,2,1,3
K0M,68,58,10,0,34,7,7,2,2,1
M4A,68,60,8,0,34,15,10,6,0,1
N2B,68,57,11,0,36,14,4,4,2,1
M6G,68,46,22,0,13,18,6,8,2,5
L1T,67,53,14,0,16,18,10,4,3,0
M9P,67,63,4,0,42,8,8,2,2,0
L9Y,67,54,13,0,24,13,11,3,2,1
L9C,66,48,12,6,25,6,10,6,1,3
L8W,66,53,8,5,33,6,7,2,2,1
L9S,66,56,10,0,38,9,5,1,4,1
M1H,65,54,7,4,36,5,6,6,0,0
L6C,65,46,19,0,18,14,6,1,1,7
M5J,64,43,21,0,16,16,3,6,1,2
K7L,64,47,17,0,34,6,3,8,4,2
P7A,64,48,15,1,23,14,6,6,0,4
N6E,64,57,7,0,37,9,10,1,2,2
N8W,63,54,7,2,25,5,17,3,1,1
L4L,63,57,6,0,31,8,7,4,1,1
L1P,63,54,9,0,33,2,16,2,2,3
M5G,63,52,11,0,34,9,3,2,1,5
L8S,62,41,21,0,20,11,4,6,4,5
L4W,62,58,1,3,52,3,1,1,0,0
P6C,62,58,4,0,35,5,10,1,0,0
K6J,62,52,10,0,27,12,4,2,3,0
K0C,61,51,10,0,24,2,17,4,1,1
L3K,61,50,11,0,29,10,7,6,2,1
M4M,60,45,15,0,25,8,7,5,2,1
M1S,60,51,9,0,31,7,7,3,1,1
