REF_DATE,GEO,DGUID,Coordinate,"Population and dwelling counts (3):Population, 2021[1]",Symbol,"Population and dwelling counts (3):Total private dwellings, 2021[2]",Symbol,"Population and dwelling counts (3):Private dwellings occupied by usual residents, 2021[3]",Symbol
2021,H2K,2021A0011H2K,398,29084,,18011,,16590,
2021,H2L,2021A0011H2L,399,27057,,17542,,15492,
2021,H2M,2021A0011H2M,400,18468,,9440,,8941,
2021,H2N,2021A0011H2N,401,6442,,2936,,2744,
2021,H2P,2021A0011H2P,402,14388,,8017,,7468,
2021,H2R,2021A0011H2R,403,22987,,13379,,12460,
2021,H2S,2021A0011H2S,404,27217,,16198,,15060,
2021,H2T,2021A0011H2T,405,16297,,9219,,8458,
2021,H2V,2021A0011H2V,406,31998,,13860,,12682,
2021,H2W,2021A0011H2W,407,11508,,6881,,6108,
2021,H2X,2021A0011H2X,408,21548,,15925,,12845,
2021,H2Y,2021A0011H2Y,409,3727,,2988,,2262,
2021,H2Z,2021A0011H2Z,410,3757,,3036,,2349,
2021,H3A,2021A0011H3A,411,4360,,3722,,2680,
2021,H3B,2021A0011H3B,412,1900,,1566,,1136,
2021,H3C,2021A0011H3C,413,18583,,13197,,11178,
2021,H3E,2021A0011H3E,414,21565,,10843,,10288,
2021,H3G,2021A0011H3G,415,11424,,9041,,6878,
2021,H3H,2021A0011H3H,416,20690,,15061,,12347,
2021,H3J,2021A0011H3J,417,11915,,6169,,5627,
2021,H3K,2021A0011H3K,418,15275,,8472,,7835,
2021,H3L,2021A0011H3L,419,20996,,10593,,9857,
2021,H3M,2021A0011H3M,420,15840,,6801,,6447,
2021,H3N,2021A0011H3N,421,29080,,13287,,12308,
2021,H3P,2021A0011H3P,422,10172,,3862,,3700,
2021,H3R,2021A0011H3R,423,10108,,3847,,3591,
2021,H3S,2021A0011H3S,424,33618,,16188,,14794,
2021,H3T,2021A0011H3T,425,13009,,7418,,6510,
2021,H3V,2021A0011H3V,426,6732,,4518,,4007,
2021,H3W,2021A0011H3W,427,30766,,13718,,12706,
2021,H3X,2021A0011H3X,428,24214,,11454,,10526,
2021,H3Y,2021A0011H3Y,429,9564,,3665,,3427,
2021,H3Z,2021A0011H3Z,430,11544,,6609,,5887,
2021,H4A,2021A0011H4A,431,26362,,13091,,12124,
2021,H4B,2021A0011H4B,432,20937,,11150,,10524,
2021,H4C,2021A0011H4C,433,17301,,10371,,9492,
2021,H4E,2021A0011H4E,434,30154,,15696,,14731,
2021,H4G,2021A0011H4G,435,29860,,16856,,15812,
2021,H4H,2021A0011H4H,436,18936,,9482,,8969,
2021,H4J,2021A0011H4J,437,18075,,7771,,7341,
2021,H4K,2021A0011H4K,438,11319,,4158,,4002,
2021,H4L,2021A0011H4L,439,36216,,15190,,14174,
2021,H4M,2021A0011H4M,440,12466,,4896,,4588,
2021,H4N,2021A0011H4N,441,30199,,12999,,12070,
2021,H4P,2021A0011H4P,442,9106,,4787,,4427,
2021,H4R,2021A0011H4R,443,31132,,12654,,12130,
2021,H4S,2021A0011H4S,444,567,,226,,216,
2021,H4T,2021A0011H4T,445,0,,2,,1,
2021,H4V,2021A0011H4V,446,20701,,9834,,9179,
2021,H4W,2021A0011H4W,447,26359,,11415,,10709,
2021,H4X,2021A0011H4X,448,6467,,2654,,2533,
2021,H7A,2021A0011H7A,449,21639,,7584,,7460,
2021,H7B,2021A0011H7B,450,2957,,1077,,1058,
2021,H7C,2021A0011H7C,451,8816,,3760,,3509,
