fsa,total_applications,landlord_filed,tenant_filed,coop_filed,L1,L2,L4,T2,T6,T1,population,total_applications_per_10k,landlord_filed_per_10k,tenant_filed_per_10k
L4A,56,38,18,0,15,9,6,9,2,3,50389.0,11.11,7.54,3.57
P0E,4,4,0,0,3,1,0,0,0,0,3606.0,11.09,11.09,0.0
K0K,128,102,26,0,40,24,25,10,8,2,115850.0,11.05,8.8,2.24
N8N,27,19,2,6,8,4,3,1,1,0,24534.0,11.01,7.74,0.82
N9K,3,3,0,0,3,0,0,0,0,0,2757.0,10.88,10.88,0.0
K1X,5,4,1,0,3,0,0,1,0,0,4594.0,10.88,8.71,2.18
L1W,20,18,2,0,6,5,4,1,0,0,18433.0,10.85,9.77,1.09
P8T,6,4,2,0,3,0,0,1,0,0,5541.0,10.83,7.22,3.61
L3X,49,43,6,0,20,10,7,3,1,1,45284.0,10.82,9.5,1.32
N9Y,17,17,0,0,9,4,2,0,0,0,15836.0,10.74,10.74,0.0
K1B,19,18,1,0,11,5,2,0,0,1,17769.0,10.69,10.13,0.56
N2T,22,12,8,2,9,2,1,2,1,2,20634.0,10.66,5.82,3.88
L6B,37,24,13,0,12,9,0,5,2,3,34763.0,10.64,6.9,3.74
P0J,21,16,5,0,11,1,2,2,1,1,20179.0,10.41,7.93,2.48
N7A,13,9,4,0,5,2,2,3,0,0,12495.0,10.4,7.2,3.2
N9E,22,18,4,0,6,4,6,2,0,1,21465.0,10.25,8.39,1.86
K0A,114,100,14,0,47,27,18,6,3,2,111626.0,10.21,8.96,1.25
K2L,19,14,5,0,10,4,0,1,0,4,18739.0,10.14,7.47,2.67
P0H,32,20,12,0,10,4,0,5,4,0,31909.0,10.03,6.27,3.76
L9R,26,20,6,0,8,7,4,2,1,0,25949.0,10.02,7.71,2.31
L4J,75,59,16,0,26,13,8,5,3,2,75120.0,9.98,7.85,2.13
N9H,13,10,3,0,3,2,2,0,0,0,13173.0,9.87,7.59,2.28
N0J,33,24,9,0,8,9,4,7,0,1,33457.0,9.86,7.17,2.69
L4H,76,57,19,0,26,15,5,4,5,4,77353.0,9.83,7.37,2.46
P0S,10,9,1,0,4,3,1,0,0,0,10170.0,9.83,8.85,0.98
L9T,109,68,41,0,28,20,8,13,9,4,110956.0,9.82,6.13,3.7
