csduid,name,fsa_count,population,households_renter,total_applications,landlord_filed,tenant_filed,coop_filed,total_applications_per_10k,landlord_filed_per_10k,tenant_filed_per_10k,total_applications_per_1k_renter,landlord_filed_per_1k_renter,tenant_filed_per_1k_renter
3536020,Chatham-Kent,3.07,103988,10757,289.9,253.6,34.4,2.0,27.88,24.38,3.31,26.95,23.57,3.2
3522010,Grand Valley,0.24,3851,765,10.7,6.7,2.9,1.2,27.8,17.31,7.41,13.99,8.71,3.73
3515015,Selwyn,0.85,18653,2251,51.8,42.2,9.4,0.2,27.78,22.61,5.04,23.02,18.74,4.17
3509010,Drummond/North Elmsley,0.7,8183,1265,22.4,19.6,2.9,0.0,27.41,23.92,3.49,17.73,15.47,2.26
3560057,Wabigoon Lake 27,0.04,175,46,0.5,0.3,0.2,0.0,27.38,17.43,9.95,,,
3509015,Tay Valley,0.66,5925,1149,16.0,13.4,2.6,0.0,27.05,22.6,4.45,13.95,11.65,2.29
3532027,Zorra,0.63,8628,1145,23.3,18.3,3.5,1.5,27.01,21.21,4.02,20.36,15.99,3.03
3507021,Leeds and the Thousand Islands,0.96,9804,1372,26.3,22.5,3.7,0.0,26.81,22.99,3.82,19.15,16.42,2.73
3502010,Champlain,0.5,8665,1156,23.1,18.2,4.9,0.0,26.62,20.97,5.65,19.96,15.72,4.24
3553005,Greater Sudbury / Grand Sudbury,7.62,166004,16548,438.0,356.9,70.9,10.1,26.38,21.5,4.27,26.47,21.57,4.28
3557041,Elliot Lake,1.0,11372,2290,30.0,26.0,4.0,0.0,26.38,22.86,3.52,13.1,11.35,1.75
3529006,Brantford,4.14,104688,10355,274.4,250.7,20.6,3.0,26.21,23.95,1.97,26.49,24.21,1.99
3543042,Barrie,2.23,147829,12595,385.3,306.5,72.8,6.0,26.06,20.73,4.92,30.59,24.34,5.78
3515037,North Kawartha,0.1,2877,417,7.5,6.3,1.1,0.0,25.98,22.01,3.97,17.93,15.19,2.74
3541069,Northern Bruce Peninsula,0.24,4404,811,11.1,9.7,1.5,0.0,25.26,21.97,3.29,13.71,11.92,1.79
3521005,Mississauga,19.87,717961,71912,1802.0,1544.0,238.2,19.8,25.1,21.51,3.32,25.06,21.47,3.31
3546024,Dysart et al,0.26,7182,761,17.9,15.2,2.6,0.0,24.88,21.21,3.68,23.48,20.01,3.47
3501012,Cornwall,2.23,47845,5789,117.8,103.3,14.5,0.0,24.63,21.6,3.03,20.36,17.85,2.5
3511030,Stone Mills,0.21,7826,982,19.0,15.4,3.6,0.0,24.32,19.72,4.6,19.37,15.71,3.66
3549096,"Parry Sound, Unorganized, Centre Part",0.51,2495,337,6.0,4.5,1.5,0.0,23.99,18.0,6.0,17.78,13.33,4.44
3549051,Joly,0.04,293,46,0.7,0.6,0.1,0.0,23.92,20.93,2.99,,,
3509039,Lanark Highlands,0.38,5737,899,13.3,11.7,1.6,0.0,23.21,20.47,2.74,14.81,13.06,1.75
3540050,Morris-Turnberry,0.07,3590,442,8.3,7.2,1.1,0.0,23.12,19.95,3.17,18.76,16.18,2.57
3514020,Port Hope,1.12,17294,1602,39.0,26.8,12.2,0.0,22.54,15.48,7.06,24.34,16.71,7.62
3534010,Malahide,0.95,9308,1286,20.9,18.6,0.6,1.8,22.47,19.98,0.6,16.27,14.47,0.44
3515014,Peterborough,2.42,83651,8078,187.7,159.8,27.8,0.1,22.44,19.11,3.32,23.24,19.79,3.44
3549018,Kearney,0.13,974,137,2.1,1.9,0.3,0.0,21.95,19.15,2.8,15.62,13.63,1.99
3514024,Alnwick/Haldimand,0.21,7473,879,16.1,13.0,3.1,0.0,21.51,17.39,4.12,18.29,14.79,3.5
3548019,Mattawan,0.01,153,18,0.3,0.2,0.1,0.0,21.45,13.41,8.04,,,
3548044,North Bay,1.44,52662,5792,112.9,96.0,15.9,1.0,21.44,18.23,3.03,19.5,16.57,2.75
3512076,Hastings Highlands,0.13,4385,523,9.4,7.9,1.4,0.0,21.38,18.11,3.27,17.93,15.19,2.74
3548001,South Algonquin,0.13,1055,257,2.2,1.8,0.4,0.0,21.25,17.5,3.75,8.73,7.19,1.54
3557061,Sault Ste. Marie,2.3,72051,7244,153.1,136.9,14.3,1.9,21.24,19.0,1.98,21.13,18.9,1.97
3526011,Port Colborne,0.68,20033,1677,42.4,34.5,7.9,0.0,21.16,17.21,3.95,25.27,20.56,4.71
3547008,Greater Madawaska,0.29,2864,545,6.0,4.6,1.4,0.0,21.11,16.06,5.05,11.09,8.44,2.65
3556066,Kapuskasing,1.0,8057,1275,17.0,14.0,3.0,0.0,21.1,17.38,3.72,13.33,10.98,2.35
3539041,North Middlesex,0.17,6307,847,13.3,11.5,1.8,0.0,21.08,18.18,2.9,15.7,13.54,2.16
3543003,Adjala-Tosorontio,1.25,10989,1326,22.9,19.5,3.4,0.1,20.87,17.7,3.07,17.3,14.68,2.54
3513020,Prince Edward County,0.44,25704,2201,53.4,42.6,10.3,0.5,20.79,16.59,4.01,24.28,19.37,4.68
3521010,Brampton,9.96,656480,39813,1363.4,1179.0,176.4,8.0,20.77,17.96,2.69,34.24,29.61,4.43
3519070,Georgina,1.61,47642,3037,97.3,70.0,25.2,2.0,20.41,14.7,5.3,32.02,23.06,8.31
3543071,Tay,0.42,11091,1072,22.0,17.4,3.9,0.7,19.87,15.7,3.51,20.56,16.25,3.63
3516010,Kawartha Lakes,2.06,79247,5070,151.9,120.2,31.7,0.0,19.16,15.16,4.0,29.95,23.7,6.25
3547046,Horton,0.24,3182,452,6.1,4.4,1.7,0.0,19.16,13.79,5.36,13.48,9.7,3.77
3511005,Loyalist,1.24,17943,1271,33.9,29.8,4.1,0.0,18.91,16.62,2.29,26.71,23.48,3.24
3546005,Highlands East,0.1,3830,365,7.2,6.1,1.1,0.0,18.72,15.9,2.83,19.64,16.68,2.96
3515013,Cavan Monaghan,0.54,10016,726,18.7,15.7,2.9,0.1,18.66,15.7,2.9,25.73,21.64,4.0
3558028,Shuniah,0.09,3247,387,6.1,4.6,1.4,0.1,18.65,14.04,4.33,15.66,11.79,3.63
3558004,Thunder Bay,3.25,108843,11315,202.2,177.8,24.3,0.0,18.57,16.34,2.24,17.87,15.72,2.15
3543068,Tiny,0.81,12966,1004,24.1,20.4,3.6,0.0,18.56,15.76,2.8,23.96,20.35,3.61
3519038,Richmond Hill,3.95,202022,15014,374.8,288.2,83.7,3.0,18.55,14.26,4.14,24.97,19.19,5.57
3507017,Front of Yonge,0.06,2595,163,4.8,3.9,0.9,0.0,18.51,14.91,3.61,29.45,23.71,5.74
3538043,Warwick,0.11,3641,420,6.7,5.6,1.1,0.0,18.42,15.43,2.99,15.98,13.39,2.6
3522012,Mono,0.38,9421,909,17.3,12.2,3.9,1.2,18.39,12.95,4.14,19.06,13.43,4.29
3542015,Grey Highlands,0.93,10424,821,19.1,14.8,4.3,0.0,18.32,14.18,4.14,23.26,18.0,5.26
3541004,South Bruce,0.09,5880,573,10.8,9.3,1.5,0.0,18.29,15.78,2.51,18.76,16.19,2.57
3501042,North Stormont,0.2,7400,827,13.5,11.4,2.1,0.0,18.27,15.41,2.86,16.35,13.79,2.56
3518001,Pickering,4.96,99186,4964,180.6,153.5,24.9,2.2,18.21,15.48,2.51,36.38,30.92,5.02
